feature,min,max
ratio_l_central_delta_std,-0.685094933,61.11682394
ratio_m_posterior_delta_std,-0.509205638,60.51196298
ratio_m_posterior_beta_median,-1.292766883,54.10305256
ratio_m_central_gamma_std,-0.354941521,50.41972551
ratio_m_posterior_beta_mean,-1.182794274,49.15350036
ratio_m_posterior_delta_mean,-1.187384012,49.06350639
ratio_m_posterior_alpha_median,-1.508127169,49.03854929
ratio_m_posterior_alpha_mean,-1.375509623,47.28735608
ratio_m_frontal_gamma_std,-0.333077294,44.2586158
ratio_l_central_delta_mean,-1.557423378,41.81923966
ratio_m_posterior_alpha_std,-1.019506003,41.56985733
ratio_m_central_gamma_mean,-0.775549603,40.79659784
ratio_m_posterior_beta_std,-0.920638153,40.73010394
ratio_r_frontal_beta_median,-1.727668999,40.43983857
ratio_m_posterior_theta_mean,-1.595085522,40.30015019
ratio_r_central_delta_std,-0.809927564,40.0732047
ratio_r_central_gamma_std,-0.276337559,39.67742442
ratio_m_posterior_theta_std,-1.046870384,39.02048688
EO_m_frontal_gamma_std,-0.392653223,39.01365161
ratio_l_posterior_gamma_std,-0.328134742,38.93935701
ratio_r_frontal_beta_mean,-1.627543073,38.89042878
ratio_r_central_beta_median,-1.914705827,38.39819936
ratio_l_posterior_gamma_mean,-0.687455654,37.97537746
ratio_r_posterior_gamma_std,-0.307355439,36.90414537
ratio_m_frontal_gamma_mean,-0.756981152,36.7165196
ratio_l_central_gamma_mean,-0.654204775,36.57366505
ratio_m_posterior_gamma_std,-0.345169286,36.48600004
ratio_l_frontal_gamma_std,-0.253701923,36.4039547
ratio_r_frontal_alpha_std,-1.208845115,36.15989396
ratio_l_central_gamma_std,-0.260590722,35.88454343
ratio_r_central_beta_mean,-1.797262302,35.17845193
ratio_m_posterior_theta_median,-2.494255323,34.91122786
EC_r_central_gamma_std,-0.332174654,34.07125815
ratio_m_central_delta_std,-0.87060101,33.12389892
EO_l_frontal_gamma_std,-0.358671535,32.83921665
EC_l_frontal_gamma_std,-0.355968817,32.76201727
EO_l_central_gamma_std,-0.310518753,32.75005939
ratio_r_central_gamma_mean,-0.669126997,32.32562869
ratio_m_posterior_gamma_mean,-0.665969174,32.0648338
ratio_l_frontal_alpha_kurt,-0.79375961,31.79032759
EC_l_central_gamma_std,-0.340553366,31.71662859
ratio_l_frontal_gamma_mean,-0.654428454,31.597816
EC_r_frontal_beta_std,-1.43713578,31.53647833
ratio_m_posterior_gamma_median,-0.836843239,31.50938924
ratio_l_central_theta_kurt,-0.745270198,30.71439034
ratio_m_frontal_theta_kurt,-0.715523472,30.5767235
EO_l_posterior_gamma_std,-0.541192669,30.43235999
ratio_r_frontal_gamma_median,-0.91685255,30.23224066
EO_r_central_gamma_std,-0.310262956,29.99620375
ratio_r_frontal_beta_std,-1.068503422,29.58425658
ratio_l_frontal_delta_std,-0.860684925,29.25277413
EO_m_central_gamma_std,-0.428264482,28.84193564
ratio_l_posterior_delta_std,-0.899415998,28.35819599
ratio_l_posterior_beta_std,-1.263106446,28.22009507
ratio_r_frontal_gamma_std,-0.309936482,28.0711065
ratio_m_central_theta_std,-1.354422977,27.45468392
ratio_r_posterior_delta_mean,-1.553220149,27.39419593
ratio_l_central_alpha_kurt,-0.822658856,26.88390898
ratio_r_posterior_gamma_mean,-0.663977846,26.87937859
ratio_r_central_beta_std,-1.122727552,26.66914631
ratio_r_central_alpha_kurt,-0.822271131,26.65389907
ratio_m_frontal_theta_median,-3.538688994,26.38808397
EO_r_frontal_gamma_std,-0.344200557,26.22696232
ratio_l_frontal_theta_median,-3.092364675,26.04467107
ratio_l_frontal_theta_mean,-1.979457611,25.97332418
ratio_r_posterior_theta_std,-1.384633796,25.86559508
EC_r_frontal_gamma_std,-0.337485447,25.78531627
ratio_m_posterior_alpha_kurt,-0.713193244,25.42249436
EO_r_frontal_beta_std,-1.201906747,25.2840873
EC_m_frontal_gamma_std,-0.443329756,24.85442408
ratio_m_posterior_beta_kurt,-0.568823539,24.73292958
EO_m_frontal_beta_std,-1.317170842,24.61093021
ratio_r_central_beta_kurt,-0.611682451,24.26777416
ratio_m_frontal_beta_kurt,-0.5699164,24.26692371
ratio_r_posterior_alpha_kurt,-0.821431619,24.08963282
ratio_r_frontal_theta_kurt,-0.754911066,23.66109721
EC_l_posterior_gamma_std,-0.471193569,23.63209559
EO_r_posterior_gamma_std,-0.562410439,23.57940411
ratio_r_central_theta_std,-1.305198502,23.45260053
EO_m_posterior_beta_std,-1.477607323,23.38713641
ratio_r_frontal_alpha_kurt,-0.663131794,23.33911445
ratio_m_central_theta_kurt,-0.701688027,23.29559783
ratio_l_central_beta_kurt,-0.555043378,23.24786949
ratio_l_posterior_alpha_kurt,-0.748980759,22.92831885
EO_l_posterior_beta_std,-1.510998675,22.73669799
ratio_m_frontal_gamma_kurt,-0.527658137,22.70653224
ratio_r_central_gamma_median,-0.947863944,22.68537773
EO_m_central_beta_std,-1.423982754,22.64945925
ratio_r_posterior_delta_std,-0.799571863,22.64296819
EO_r_posterior_beta_std,-1.50985505,22.52020609
ratio_m_frontal_beta_std,-1.205347913,22.51146306
EC_m_posterior_gamma_std,-0.504361611,22.33766892
ratio_r_frontal_theta_median,-3.192952702,22.15682823
EC_m_central_gamma_std,-0.461903893,22.1322027
EO_l_frontal_beta_std,-1.315595833,22.01843392
ratio_m_frontal_beta_median,-1.978637716,21.99650583
ratio_l_posterior_theta_kurt,-0.653913734,21.9902477
ratio_m_frontal_alpha_kurt,-0.767908936,21.7984105
ratio_m_frontal_alpha_median,-2.055862504,21.53931639
ratio_m_posterior_delta_median,-1.930420364,21.28545058
ratio_l_central_gamma_kurt,-0.525442704,21.24332431
EC_r_posterior_theta_std,-1.99286034,21.1411997
ratio_r_central_gamma_kurt,-0.52947088,21.05048871
EC_l_posterior_theta_std,-2.016036569,20.92570678
ratio_r_frontal_delta_median,-2.294551067,20.87944156
ratio_r_frontal_gamma_mean,-0.707800133,20.66490416
ratio_r_posterior_beta_kurt,-0.578587637,20.63651641
ratio_m_central_gamma_kurt,-0.512882543,20.5773097
ratio_r_posterior_theta_kurt,-0.691080232,20.55142834
ratio_l_frontal_beta_kurt,-0.566291369,20.50914298
ratio_l_central_theta_std,-1.283173783,20.42548376
EO_l_central_beta_std,-1.409135574,20.40125033
EC_m_posterior_theta_std,-2.111445817,20.39359529
ratio_r_frontal_theta_std,-1.238565716,20.27770003
EO_r_central_beta_std,-1.382151763,20.19390128
ratio_r_frontal_delta_std,-0.901982775,20.17864664
ratio_m_frontal_beta_mean,-1.862976156,20.0851155
ratio_l_posterior_beta_kurt,-0.549729019,20.08382864
EC_r_posterior_gamma_std,-0.490953151,20.01569109
ratio_r_frontal_beta_kurt,-0.564787414,19.94869917
ratio_l_frontal_gamma_kurt,-0.595346733,19.86393981
ratio_r_central_theta_median,-3.337704534,19.84318776
ratio_l_frontal_theta_std,-1.216307656,19.75013117
ratio_m_posterior_theta_kurt,-0.705655496,19.7497835
ratio_l_frontal_theta_kurt,-0.796515977,19.64396652
ratio_r_frontal_gamma_kurt,-0.483324542,19.6432903
ratio_l_posterior_gamma_median,-0.937048413,19.05783329
ratio_m_central_theta_median,-3.383425157,18.97914894
ratio_m_posterior_gamma_kurt,-0.468817458,18.91484897
ratio_m_central_alpha_kurt,-0.797389885,18.85316333
ratio_r_posterior_gamma_median,-0.911202694,18.8270717
ratio_m_central_beta_kurt,-0.594299125,18.65413388
ratio_l_posterior_gamma_kurt,-0.507433578,18.37235959
EC_l_central_theta_std,-1.972703205,18.34560536
EC_r_central_theta_std,-1.979157731,18.28963904
ratio_l_frontal_gamma_median,-0.938057384,18.03135166
ratio_l_frontal_delta_median,-2.404944083,18.00025111
EC_l_frontal_theta_std,-1.878839843,17.97236668
EO_m_posterior_gamma_std,-0.553800558,17.88130139
EC_r_frontal_theta_std,-1.8103509,17.76839845
EC_m_central_theta_std,-1.942013106,17.71769556
ratio_l_frontal_delta_mean,-1.597251689,17.54603073
ratio_r_frontal_theta_mean,-2.067639458,17.44998867
EO_m_central_theta_std,-2.000112791,17.39344799
EC_m_frontal_theta_std,-1.875421735,17.21145916
EO_l_central_theta_std,-2.112208131,17.20360329
ratio_r_posterior_gamma_kurt,-0.505659841,17.14700493
ratio_l_posterior_theta_median,-2.858156475,17.02311874
ratio_m_central_beta_std,-1.330266021,16.92377268
